Number,Number Text,Name,ROD Name,Cost,Duelist Level,Alignment,Type,Card Level,ATK,DEF,Password,Status,Kind,Image
1,001,Blue-Eyes White Dragon,,95,95,Light,Dragon,8,3000,2500,89631139,Unlimited,monster,
2,002,Mystical Elf,,319,319,Light,Spellcaster,4,800,2000,15025844,Unlimited,monster,
3,003,Hitotsu-Me Giant,,121,121,Fiend,Beast-Warrior,4,1200,1000,76184692,Unlimited,monster,
4,004,Baby Dragon,,121,121,Earth,Dragon,3,1200,700,88819587,Unlimited,monster,
5,005,Ryu-Kishin,,87,87,Wind,Fiend,3,1000,500,15303296,Unlimited,monster,
6,006,Feral Imp,,161,161,Fiend,Fiend,4,1300,1400,41392891,Unlimited,monster,
7,007,"Winged Dragon, Guardian of the Fortress #1",,161,161,Wind,Dragon,4,1400,1200,87796900,Unlimited,monster,
8,008,Mushroom Man,,59,59,Forest,Plant,2,800,600,14181608,Unlimited,monster,
9,009,Shadow Specter,,29,29,Fiend,Zombie,1,500,200,40575313,Unlimited,monster,
10,010,Blackland Fire Dragon,,183,183,Dark,Dragon,4,1500,800,87564352,Unlimited,monster,
11,011,Sword Arm of Dragon,,95,95,Earth,Dinosaur,6,1750,2030,13069066,Unlimited,monster,
12,012,Swamp Battleguard,,41,41,Dark,Warrior,5,1800,1500,40453765,Unlimited,monster,
13,013,The Stern Mystic,,183,183,Light,Spellcaster,4,1500,1200,87557188,Unlimited,monster,
14,014,Battle Steer,,41,41,Fiend,Beast-Warrior,5,1800,1300,18246479,Unlimited,monster,
15,015,Flame Swordsman,,41,41,Fire,Warrior,5,1800,1600,45231177,Unlimited,monster,
16,016,Time Wizard,,29,29,Dreams,Spellcaster,2,500,400,71625222,Unlimited,monster,
17,017,Right Leg of the Forbidden One,,66,66,Dark,Spellcaster,1,200,300,08124921,Unlimited,monster,
18,018,Left Leg of the Forbidden One,,66,66,Dark,Spellcaster,1,200,300,44519536,Unlimited,monster,
19,019,Right Arm of the Forbidden One,,66,66,Dark,Spellcaster,1,200,300,70903634,Unlimited,monster,
20,020,Left Arm of the Forbidden One,,66,66,Dark,Spellcaster,1,200,300,07902349,Unlimited,monster,
21,021,Exodia the Forbidden One,,137,137,Dark,Spellcaster,3,1000,1000,33396948,Unlimited,monster,
22,022,Summoned Skull,,279,279,Fiend,Fiend,6,2500,1200,70781052,Unlimited,monster,
23,023,The Wicked Worm Beast,,161,161,Earth,Beast,3,1400,700,06285791,Unlimited,monster,
24,024,Skull Servant,,16,16,Fiend,Zombie,1,300,200,32274490,Unlimited,monster,
25,025,Horn Imp,,140,140,Fiend,Fiend,4,1300,1000,69669405,Unlimited,monster,
26,026,Battle Ox,,233,233,Forest,Beast-Warrior,4,1700,1000,05053103,Unlimited,monster,
27,027,Beaver Warrior,,183,183,Forest,Beast-Warrior,4,1200,1500,32452818,Unlimited,monster,
28,028,Rock Ogre Grotto #1,,121,121,Earth,Rock,3,800,1200,68846917,Unlimited,monster,
29,029,Mountain Warrior,,87,87,Earth,Beast-Warrior,3,600,1000,04931562,Unlimited,monster,
30,030,Zombie Warrior,,121,121,Fiend,Zombie,3,1200,900,31339260,Unlimited,monster,
31,031,Koumori Dragon,,183,183,Fiend,Dragon,4,1500,1200,67724379,Unlimited,monster,
32,032,Two-Headed King Rex,,207,207,Earth,Dinosaur,4,1600,1200,94119974,Unlimited,monster,
33,033,Judge Man,,150,150,Light,Warrior,6,2200,1500,30113682,Unlimited,monster,
34,034,Saggi the Dark Clown,,183,183,Dark,Spellcaster,3,600,1500,66602787,Unlimited,monster,
35,035,Dark Magician,,20,20,Dark,Spellcaster,7,2500,2100,46986414,Unlimited,monster,
36,036,The Snake Hair,,183,183,Fiend,Zombie,4,1500,1200,29491031,Unlimited,monster,
37,037,Gaia the Dragon Champion,,30,30,Wind,Dragon,7,2600,2100,66889139,Unlimited,monster,
38,038,Gaia The Fierce Knight,,6,6,Dark,Warrior,7,2300,2100,06368038,Unlimited,monster,
39,039,Curse of Dragon,,86,86,Wind,Dragon,5,2000,1500,28279543,Unlimited,monster,
40,040,Dragon Piper,,260,260,Fire,Pyro,3,200,1800,55763552,Unlimited,monster,
41,041,Celtic Guardian,,161,161,Light,Warrior,4,1400,1200,91152256,Unlimited,monster,
42,042,Illusionist Faceless Mage,,150,150,Dreams,Spellcaster,5,1200,2200,28546905,Unlimited,monster,
43,043,Karbonala Warrior,,183,183,Earth,Warrior,4,1500,1200,54541900,Unlimited,monster,
44,044,Rogue Doll,,207,207,Light,Spellcaster,4,1600,1000,91939608,Unlimited,monster,
45,045,Oscillo Hero #2,,87,87,Thunder,Thunder,3,1000,500,27324313,Unlimited,monster,
46,046,Griffore,,183,183,Forest,Beast,4,1200,1500,53829412,Unlimited,monster,
47,047,Torike,,121,121,Earth,Beast,3,1200,600,80813021,Unlimited,monster,
